IndulasIdeje;MegalloDarab;TavolsagMax;TavolsagMin;UtasDarab;Seed;generalasokSzama;megalloNoveles
2022.04.30. 12:30:48;45;40;10;40;;5;1


;MohoUtvonalTervezo;;;BactrackUtvonalTervezo;;
MegallokDarab;LehetsegesDarab;MegallasokAtlag;FutasIdoAtlagMs;LehetsegesDarab;MegallasokAtlag;FutasIdoAtlagMs
1;5;1;1,22E-06;5;1;0,00012486
2;5;1;1,6800000000000002E-06;5;1;2,4E-06
3;5;1;1,7399999999999999E-06;5;1;3,8E-06
4;5;1;1,8999999999999998E-06;5;1;5,5399999999999995E-06
5;5;1;2,04E-06;5;1;7,2199999999999995E-06
6;5;1,2;2,8800000000000004E-06;5;1,2;1,3099999999999998E-05
7;5;1,4;7,400000000000001E-06;5;1,4;2,5379999999999998E-05
8;5;2;7,86E-06;5;2;8,492000000000001E-05
9;5;2;6,88E-06;5;2;0,00011430000000000001
10;5;2;5,0800000000000005E-06;5;2;8,226E-05
11;5;2;6,1400000000000005E-06;5;2;0,00012086
12;5;2,6;7,979999999999998E-06;5;2,6;0,0004418
13;5;2,8;7,3800000000000005E-06;5;2,8;0,00042448
14;5;2,8;7,52E-06;5;2,8;0,00056662
15;5;3;8,46E-06;5;3;0,00071484
16;5;3,6;1,2120000000000001E-05;5;3,6;0,00186592
17;5;3,8;1,19E-05;5;3,6;0,00263254
18;5;4;1,486E-05;5;4;0,00447434
19;5;3,8;1,156E-05;5;3,8;0,00351908
20;5;4,6;1,342E-05;5;4;0,0054491800000000005
21;5;5;1,5139999999999999E-05;5;4,2;0,00591416
22;5;5;1,6199999999999997E-05;5;4,8;0,014638099999999998
23;5;5;1,7039999999999996E-05;5;5;0,02215334
24;5;5,2;1,852E-05;5;5,2;0,03198486
25;5;5,6;2,296E-05;5;5,4;0,05686828000000001
26;5;6,2;2,562E-05;5;5,6;0,06365573999999999
27;5;6,2;2,9080000000000003E-05;5;5,8;0,09688742
28;5;6,4;2,6479999999999997E-05;5;6;0,12944445999999998
29;5;6,2;2,3919999999999998E-05;5;6;0,20564728
30;5;6,6;3,592E-05;5;6,4;0,20193258000000003
31;5;7,4;2,766E-05;5;6,8;0,4244034
32;5;7,8;2,9360000000000003E-05;5;7,4;0,7541131
33;5;8;3,006E-05;5;7,2;1,0036401
34;5;8;3,414E-05;5;7,4;1,0142740000000001
35;5;7,8;4,54E-05;5;7,4;1,56236808
36;5;8;5,492E-05;5;7,6;1,81457212
37;5;8,8;4,494E-05;5;8,6;3,8553114199999996
38;5;8,4;5,176E-05;5;8;4,29746812
39;5;9,6;4,7760000000000004E-05;5;8,8;6,68502802
40;5;9,2;4,328E-05;5;8,6;5,157552880000001
41;5;9,2;4,36E-05;5;9;13,01875714
42;5;9,8;4,6E-05;5;9,6;42,46841439999999
43;4;10,25;4,8E-05;4;9,5;36,926655925000006
44;5;10,4;5,18E-05;5;10;41,41473168
45;4;10;6,195E-05;4;9,25;22,627589225
